vocabulary;source;desc_id;text;phrase;matched_class;confidence
objects_yolo11;vatex;aXBKAMImppU_000056_000066;Two men precariously try to unload a motorcycle from the bed of a pickup truck.;pickup truck;truck;1.000000
objects_yolo11;vatex;AD1P-ZmkxPA_000021_000031;a clip of an older basketball game with the final score 29-12.;clip;truck;0.436379
objects_yolo11;vatex;umJqRnwaC_c_000000_000010;The mother is holding her sick baby and holding an automatic steamer under her nostrils, which is helping her to cough and break up phlegm;phlegm;zebra;0.339401
objects_yolo11;vatex;wj3koDeK8ew_000259_000269;Someone is playing on a Rolling Stones pinball machine as the lights flash.;rolling stones pinball machine;cake;0.632750
objects_yolo11;vatex;eYdzsRaIBT8_000002_000012;A man expresses concern for his career at a bar as a woman walks up to the bar next to him and orders a scotch.;scotch;apple;0.751290
objects_yolo11;vatex;YSGHvSk3xqY_000001_000011;A man stands behind a podium giving a speech as a crowd watches.;crowd watches;tie;0.504534
objects_yolo11;vatex;XMQAYSc2Ly8_000379_000389;A man demonstrates using a tool to carve out small notches in a block of wood.;small notches;donut;0.513069
objects_yolo11;vatex;5eACZyKJ28A_000013_000023;A toddler rolls around on the floor and plays with his toy trains.;toy trains;train;1.000000
objects_yolo11;vatex;-gJlTcI3jRI_000000_000010;A person is showing how to cut up a pineapple with a knife.;knife;knife;1.000000
objects_yolo11;vatex;hz-aGijoIc0_000000_000010;Three adolescent school girls are posing for a photo and winking.;photo;book;0.467074
objects_yolo11;vatex;03SGFTLtuTM_000125_000135;A man looks back and then looks forward in a boat at a dock.;boat;boat;1.000000
objects_yolo11;vatex;Jm1r-lF68dQ_000028_000038;The opening of a Halo game is featured in this short vignette.;short vignette;kite;0.521197
objects_yolo11;vatex;r0v3I6yO5h4_000033_000043;A male is in the water near show and is kiteboarding with a parashute attached to his him while he is surfing.;parashute;remote;0.385979
objects_yolo11;vatex;rsDfe_ikY1I_000010_000020;footage of under the sea and then a scuba diver shows himself;footage;bear;0.535781
objects_yolo11;vatex;r7AIEmqkHnE_000012_000022;A pair of young girls are riding their scooters down a street with supervision.;scooters;motorcycle;0.819977
objects_yolo11;vatex;Ya5z_JLEEIA_000051_000061;A child is using scissors to open a package containing a shocking pen,;scissors;scissors;1.000000
