desc_id;episode;split;desc;wymaga_osoby;wymaga_obiektu;wymaga_scenerii;wymaga_ruchu;wymaga_mimiki;complexity;identities
85002;s01e15;dev;Leonard stops Sheldon with his arm as he was about to leave.;1;0;0;1;0;Z;Leonard,Sheldon
85006;s01e15;dev;Raj is waving his hand uncontrollably as he greets Missy.;1;0;0;1;0;Z;Raj,Missy
85013;s01e15;dev;Penny comes in and shows Leonard's Superman underwear.;1;1;0;1;0;Z;Penny,Leonard
85015;s01e15;dev;Missy leaves with Penny after getting up from the couch.;1;0;0;1;0;Z;Missy,Penny
85020;s01e15;dev;Penny, in a yellow blouse, puts the lid on the jar she is holding.;1;1;0;1;0;P;Penny
85022;s01e15;dev;Sheldon, in a black shirt, turns from his computer and makes a note in the notebook next to him.;1;1;0;1;0;Z;Sheldon
85026;s01e15;dev;Leonard, in a purple hoodie, reaches out and rests his hand on Sheldon's shoulder.;1;0;0;1;0;Z;Leonard,Sheldon
85027;s01e15;dev;Sheldon, in a black shirt, quickly spins around, opens the door and leaves the bedroom.;1;1;1;1;0;Z;Sheldon
85028;s01e15;dev;Leonard, in a purple hoodie, takes his hand off Sheldon's left shoulder.;1;0;0;1;0;Z;Leonard,Sheldon
85030;s01e15;dev;Raj, in a purple sweater and blue shirt, is standing next to Howard while talking to him and making strange gestures with his hand.;1;0;0;1;0;Z;Raj,Howard
85031;s01e15;dev;Leonard and Sheldon, in a black shirt, walk into Sheldon's room and Leonard closes the door.;1;1;1;1;0;Z;Leonard,Sheldon
85034;s01e15;dev;Sheldon, in a black shirt, flicks his head and points his finger up.;1;0;0;1;0;Z;Sheldon
96270;s01e15;dev;Howard pours the contents of the jar he is holding into a bowl on the coffee table.;1;1;0;1;0;P;Howard
96271;s01e15;dev;Leonard makes boxing moves as he plays a video game with Howard.;1;1;0;1;0;Z;Leonard,Howard
96272;s01e15;dev;Leonard excitedly jumps up and down with the Nintendo controllers over his head.;1;1;0;1;0;P;Leonard
27730;s03e02;dev;Howard, Raj, and Sheldon hear a noise in the elevator shaft and Sheldon tears off the yellow tape.;1;1;1;1;0;Z;Howard,Raj,Sheldon
27731;s03e02;dev;Howard takes the sign off the elevator door and he and Sheldon try to open it.;1;1;1;1;0;Z;Howard,Sheldon
27750;s03e02;dev;Howard, in a turquoise shirt, makes a gesture with his finger on his nose to Sheldon.;1;0;0;1;0;Z;Howard,Sheldon
27753;s03e02;dev;Sheldon looks at his wristwatch while eating at the table with Howard and Raj.;1;1;0;1;0;Z;Sheldon,Howard,Raj
27755;s03e02;dev;Penny, in an orange hoodie, reaches her arms out to near where Leonard is standing.;1;0;0;1;0;Z;Penny,Leonard
27757;s03e02;dev;Penny, in an orange hoodie, hands Leonard a glass of wine after pouring one for herself.;1;1;0;1;0;Z;Penny,Leonard
34348;s03e02;dev;Penny, with messy hair, is pouring liquor into her glass as she sits beside Leonard on the couch.;1;1;0;1;0;Z;Penny,Leonard
63696;s03e02;dev;Raj screams, turns around and covers his mouth, in the room full of insects.;1;0;1;1;0;Z;Raj
63697;s03e02;dev;Raj opens the door to the room full of insects.;1;1;1;1;0;P;Raj
63699;s03e02;dev;Howard, in a red shirt, taps the back of Raj's neck and scares Raj.;1;0;0;1;0;Z;Howard,Raj
68975;s03e02;dev;Sheldon slowly walks toward the mailboxes with a comic in his hands, passing Penny in a pink and purple shirt.;1;1;0;1;0;Z;Sheldon,Penny
68988;s03e02;dev;Sheldon is holding a comic of the Flash as he speaks to Leonard.;1;1;0;0;0;Z;Sheldon,Leonard
68989;s03e02;dev;Leonard, in a green hoodie, and Penny hug each other and then they end up kissing each other.;1;0;0;1;0;Z;Leonard,Penny
69009;s03e02;dev;Howard takes the cricket from Professor Crawley and Sheldon takes the container from Howard.;1;1;0;1;0;Z;Howard,Professor Crawley,Sheldon
73057;s03e02;dev;Penny runs and throws up in the sink and then Leonard throws up in the toilet.;1;1;0;1;0;Z;Penny,Leonard
73058;s03e02;dev;Penny walks into the bathroom as Leonard, in a red shirt, has his head in the toilet vomiting.;1;1;1;1;0;Z;Penny,Leonard
73059;s03e02;dev;Howard, in a red shirt, walks up to Raj and Sheldon's table at the canteen and places a book on it.;1;1;1;1;0;Z;Howard,Raj,Sheldon
73080;s03e02;dev;Howard, in a turquoise shirt, and Sheldon reach towards each other and shake hands while sitting next to each other on the couch.;1;0;0;1;0;Z;Howard,Sheldon
73082;s03e02;dev;Howard, Sheldon, and Raj are gathered around the refrigerator with their heads close to it.;1;1;0;0;0;Z;Howard,Sheldon,Raj
73165;s03e02;dev;Leonard, in a red shirt and purple hoodie, walks across the room and exits the room through the front door in a rush.;1;1;1;1;0;Z;Leonard
73185;s03e02;dev;Sheldon rapidly closes the comic book in front of Howard's face.;1;1;0;1;0;Z;Sheldon,Howard
73186;s03e02;dev;Leonard, in a red shirt, sits down in the living room chair while Raj and Howard laugh.;1;0;1;1;1;Z;Leonard,Raj,Howard
73187;s03e02;dev;Leonard lifts the bag and shows it to a disappointed Sheldon, in a blue shirt.;1;1;0;1;1;Z;Leonard,Sheldon
88916;s03e02;dev;Professor Crawley lays a plastic lid down on the table as he stares into a box.;1;1;0;1;0;Z;Professor Crawley
88925;s03e02;dev;Howard, in a red shirt, opens a book in front of Sheldon at the canteen.;1;1;1;1;0;Z;Howard,Sheldon
88926;s03e02;dev;Howard grabs a clear container from the table at the canteen.;1;1;1;1;0;P;Howard
88927;s03e02;dev;Howard grabs the container and leaves the cafeteria with Sheldon and Raj following.;1;1;1;1;0;Z;Howard,Sheldon,Raj
88929;s03e02;dev;Sheldon picks up an open book and shows it to Raj while he spreads butter on toast at the canteen.;1;1;1;1;0;Z;Sheldon,Raj
89806;s03e02;dev;Leonard and Penny, in an orange hoodie, are kissing each other on her sofa.;1;0;0;0;0;Z;Leonard,Penny
89809;s03e02;dev;Sheldon, Raj and Howard unsuccessfully try numerous times to get out of the closet simultaneously.;1;0;1;1;0;Z;Sheldon,Raj,Howard
13247;s04e05;dev;Sheldon sits down on the couch with a comic book in his hands, next to Leonard, in a red shirt, who is lying on the sofa.;1;1;0;1;0;Z;Sheldon,Leonard
13249;s04e05;dev;Leonard is lying along the entire couch, then bends his knees, freeing up one end of the couch where Sheldon sits down with a magazine in his hands.;1;1;0;1;0;Z;Leonard,Sheldon
13257;s04e05;dev;Sheldon, in a green shirt, darts up from the couch and rushes down three flights of stairs shouting for Leonard.;1;0;1;1;0;Z;Sheldon,Leonard
13258;s04e05;dev;Sheldon starts to close his laptop a bit before opening it again while sitting on the couch.;1;1;0;1;0;Z;Sheldon
13272;s04e05;dev;Sheldon takes the number 2 sign off his desk and shows it to Leonard.;1;1;0;1;0;Z;Sheldon,Leonard
13275;s04e05;dev;Howard closes his front door behind him, at night, as he is talking to Leonard, in a blue shirt.;1;1;1;1;0;Z;Howard,Leonard
21110;s04e05;dev;Leonard, in a purple hoodie, and Sheldon simultaneously lift their bags over their shoulders.;1;1;0;1;0;Z;Leonard,Sheldon
21567;s04e05;dev;Leonard puts his hand on the doorknob and holds it while talking with Sheldon, in a green shirt.;1;1;0;1;0;Z;Leonard,Sheldon
55081;s04e05;dev;A woman in a blue top picks up a glass of white wine, winks at Leonard and takes a drink.;1;1;0;1;1;Z;Leonard
55083;s04e05;dev;A woman in a blue top and Bernadette sit down at the table with Leonard and Howard.;1;0;0;1;0;Z;Bernadette,Leonard,Howard
55084;s04e05;dev;Sheldon, in a purple shirt, is speaking to Amy's mother through Skype on his laptop while she turns her head at him, smiling.;1;1;0;1;1;Z;Sheldon,Amy
55085;s04e05;dev;Amy and Sheldon, in a purple shirt, sit on the couch video chatting with Mrs. Fowler, who waves slowly with a shocked expression.;1;0;0;1;1;Z;Amy,Sheldon,Mrs. Fowler
55086;s04e05;dev;Sheldon, in a purple shirt, closes a red laptop that's sitting on Amy's lap, while sitting on a couch.;1;1;0;1;0;Z;Sheldon,Amy
55090;s04e05;dev;A woman in a blue top turns and points behind her as she is leaving the restaurant dining room.;0;0;1;1;0;Z;
55091;s04e05;dev;Amy, in a purple jacket, puts her laptop bag over her shoulder and stands up from the steps.;1;1;1;1;0;Z;Amy
55092;s04e05;dev;Sheldon, in a red puffer jacket and a red hat, takes off a pair of funny novelty glasses while talking to Amy.;1;1;0;1;0;Z;Sheldon,Amy
55093;s04e05;dev;Someone in a red puffer jacket and a red hat walks slowly down the stairs and Amy stares at him.;1;0;1;1;0;Z;Amy
55106;s04e05;dev;Sheldon, in an orange shirt, leaves Leonard's side to hide close to the wall in the hallway.;1;0;1;1;0;Z;Sheldon,Leonard
66656;s04e05;dev;Leonard says something and a woman in a blue top pretends to hit him and laughs hysterically, at the restaurant.;1;0;1;1;1;Z;Leonard
66686;s04e05;dev;A woman in a blue top uses a cloth napkin to dab each of her armpits at the restaurant.;0;1;1;1;0;P;
66687;s04e05;dev;A woman in a blue top slaps Leonard on the front of his shoulder as she laughs at the restaurant.;1;0;1;1;1;Z;Leonard
66689;s04e05;dev;A woman in a blue top shakes Leonard's hand and leans closer to him as she sits beside him at the restaurant table.;1;0;1;1;0;Z;Leonard
70062;s04e05;dev;Sheldon, in a green shirt, turns toward Leonard and makes Hulk arms while sitting on the couch.;1;0;0;1;0;Z;Sheldon,Leonard
75515;s04e05;dev;Howard, in a plaid orange shirt, takes his phone out of his pocket and puts it to his ear at the comic store.;1;1;1;1;0;Z;Howard
75516;s04e05;dev;Sheldon, in a green shirt, and Leonard, in a red shirt, walk down a flight of stairs and stop in front of a bike in the hallway.;1;1;1;1;0;Z;Sheldon,Leonard
75625;s04e05;dev;Leonard, in a red shirt, reaches from the sofa for his glasses on the coffee table and puts them on.;1;1;0;1;0;Z;Leonard
75626;s04e05;dev;Sheldon, in a green shirt, sets down his comic book on the arm of the sofa.;1;1;0;1;0;P;Sheldon
87695;s04e05;dev;Sheldon, in an orange shirt, walks down the apartment stairs and jumps off the last step.;1;0;1;1;0;Z;Sheldon
87697;s04e05;dev;A shot of Amy, in a purple jacket, standing outside the glass doors of Sheldon's apartment building.;1;0;1;0;0;P;Amy,Sheldon
89471;s04e05;dev;Leonard, in a red shirt, while sitting on the couch, changes his position and crosses both legs.;1;0;0;1;0;Z;Leonard
89473;s04e05;dev;Sheldon, in a green shirt, makes a set of air quotations with his fingers while sitting on the couch.;1;0;0;1;0;P;Sheldon
28102;s05e20;dev;Penny, in a blue shirt, and Leonard make awkward glances in Sheldon's direction.;1;0;0;0;1;Z;Penny,Leonard,Sheldon
28106;s05e20;dev;Raj, in an orange sweater, types something on his keyboard and then puts his hands in his lap.;1;1;0;1;0;Z;Raj
28111;s05e20;dev;Howard, in a black blazer, places a red napkin on his lap while Bernadette talks to Raj.;1;1;0;1;0;Z;Howard,Bernadette,Raj
28112;s05e20;dev;Leonard throws a toy when Penny hands him a purple transporter box.;1;1;0;1;0;Z;Leonard,Penny
28115;s05e20;dev;Penny, in a blue shirt, carries the paper bag over to the coffee table and sets it down.;1;1;0;1;0;Z;Penny
28116;s05e20;dev;Leonard gets up out of his chair and walks over to Sheldon to look at the purple transporter box that he holds.;1;1;0;1;0;Z;Leonard,Sheldon
28120;s05e20;dev;Raj, in a mustard blazer, leans over to speak into Bernadette's ear in private at a restaurant.;1;0;1;1;0;Z;Raj,Bernadette
28122;s05e20;dev;A Spock figurine sits on a table next to a purple transporter box.;0;1;0;0;0;Z;
28130;s05e20;dev;Sheldon, in plaid pajamas, smells a figurine box as he opens it.;1;1;0;1;0;Z;Sheldon
28131;s05e20;dev;Sheldon, in plaid pajamas, is playing with a toy and a Spock figurine.;1;1;0;1;0;Z;Sheldon
28135;s05e20;dev;Sheldon sets a purple box down on the desk next to a Spock figurine.;1;1;0;1;0;Z;Sheldon
28136;s05e20;dev;Sheldon, in plaid pajamas, opens his eyes and jumps up out of bed at night.;1;0;1;1;0;Z;Sheldon
28137;s05e20;dev;Sheldon, in plaid pajamas, opens the lid on a purple box and looks inside.;1;1;0;1;0;Z;Sheldon
28146;s05e20;dev;Raj, wearing blue oven mitts, takes the food over to the dining table and gives some to Lakshmi.;1;1;0;1;0;Z;Raj,Lakshmi
28147;s05e20;dev;Raj takes off his blue oven mitts and walks back to the dining table to sit down with Lakshmi.;1;1;0;1;0;Z;Raj,Lakshmi
28148;s05e20;dev;Raj, in a red shirt, bends down to retrieve a pan out of the oven.;1;1;0;1;0;P;Raj
65660;s05e20;dev;Sheldon, in a space full of rocks, stands up and takes the toy to throw it away.;1;1;1;1;0;Z;Sheldon
65662;s05e20;dev;Sheldon is sitting on a rock and looks back when a monster comes.;1;0;1;1;0;Z;Sheldon
69427;s05e20;dev;Leonard is trying to put something yellow back into the purple box as he stands next to Penny at the kitchen island.;1;1;1;1;0;Z;Leonard,Penny
69429;s05e20;dev;Penny and Leonard walk towards the front door passing Sheldon at his desk looking at the Spock figurine and the purple box next to him.;1;1;0;1;0;Z;Penny,Leonard,Sheldon
69435;s05e20;dev;Penny puts the purple box down in front of Leonard on the kitchen island.;1;1;1;1;0;Z;Penny,Leonard
69436;s05e20;dev;Leonard opens the top of the purple toy box, while Penny moves her feet quickly in impatience.;1;1;0;1;0;Z;Leonard,Penny
69437;s05e20;dev;Leonard, in a red hoodie, rubs Penny's arm as he walks away.;1;0;0;1;0;Z;Leonard,Penny
69440;s05e20;dev;Howard places his retainer inside his mouth and looks at Raj, at the lab.;1;1;1;1;0;Z;Howard,Raj
69443;s05e20;dev;Howard applies some solder to a project he is working on at the lab.;1;1;1;1;0;P;Howard
69445;s05e20;dev;Howard moves some equipment from one side of the room to the shelves, at the lab.;1;1;1;1;0;P;Howard
69447;s05e20;dev;Howard puts equipment down on the table behind him, at the lab.;1;1;1;1;0;P;Howard
69449;s05e20;dev;Howard winds up some electrical wiring connected to a soldering iron, at his lab, while talking.;1;1;1;1;0;P;Howard
69450;s05e20;dev;Raj, in a red shirt, makes a stop gesture to stop Lakshmi from putting her food into her mouth.;1;1;0;1;0;Z;Raj,Lakshmi
69453;s05e20;dev;Sheldon, in a space full of rocks, pulls off the covers and gets out of bed.;1;1;1;1;0;Z;Sheldon
69470;s05e20;dev;Bernadette, in a pink blouse, sitting on a couch with Howard, sets down a beer she is holding on the coffee table.;1;1;0;1;0;Z;Bernadette,Howard
69471;s05e20;dev;Raj gently takes a puppy from Bernadette's arms.;1;1;0;1;0;Z;Raj,Bernadette
89105;s05e20;dev;Sheldon, in a yellow shirt, grabs a purple box and leaves his chair with it.;1;1;0;1;0;Z;Sheldon
89106;s05e20;dev;Sheldon, in a yellow shirt, replaces the purple boxes on the desk.;1;1;0;1;0;P;Sheldon
89107;s05e20;dev;Penny and Leonard walk into the room and shock Sheldon who is holding a purple box.;1;1;0;1;0;Z;Penny,Leonard,Sheldon
6163;s07e02;dev;Sheldon and Penny, both holding paper bags with groceries, turn to walk in opposite directions away from one another, in the hallway.;1;1;1;1;0;Z;Sheldon,Penny
6164;s07e02;dev;Out of fright, Penny drops a paper bag full of shopping while standing next to the door of her apartment.;1;1;1;1;1;P;Penny
12475;s07e02;dev;Leonard, in a grey jacket, is sitting on the couch with his elbow on his knee next to Penny.;1;0;0;0;0;Z;Leonard,Penny
12502;s07e02;dev;The pizza delivery man turns and looks at Sheldon with a plastic bag in his hand while he walks away.;1;1;0;1;0;Z;Sheldon
12506;s07e02;dev;Leonard, in a grey hoodie, is showing Penny pictures on his cell phone while sitting on the couch.;1;1;0;1;0;Z;Leonard,Penny
12507;s07e02;dev;Penny, in a purple floral shirt, opens her apartment door for a pizza delivery guy.;1;1;1;1;0;Z;Penny
12515;s07e02;dev;Sheldon, in a red shirt, is staring at a figurine as Stuart passes by.;1;1;0;1;0;Z;Sheldon,Stuart
12516;s07e02;dev;Stuart grabs an Aquaman statue from the shelf behind him.;1;1;0;1;0;P;Stuart
12517;s07e02;dev;Stuart takes out a Batman squirt gun from behind the counter.;1;1;0;1;0;P;Stuart
12532;s07e02;dev;Bernadette, in a pink sweater, reads the information on the bottle of cream.;1;1;0;0;0;P;Bernadette
12533;s07e02;dev;Howard pulls a tube of cream out of his pocket and hands it to Bernadette.;1;1;0;1;0;Z;Howard,Bernadette
12535;s07e02;dev;Sheldon puts his arms on his hips while facing a trash can, in the kitchen.;1;1;1;1;0;P;Sheldon
12537;s07e02;dev;Bernadette sets a glass mixing bowl into a dish drainer tray.;1;1;0;1;0;P;Bernadette
54231;s07e02;dev;Sheldon gets a piece of paper from the side table and hands it to Penny while they are eating at the living room table.;1;1;1;1;0;Z;Sheldon,Penny
54232;s07e02;dev;Penny, with two ponytails and in a turquoise floral top, hands Howard the piece of paper she was holding.;1;1;0;1;0;Z;Penny,Howard
54260;s07e02;dev;Raj, in a green and grey shirt, picks up a piece of cake from the coffee table and starts eating it.;1;1;0;1;0;Z;Raj
54261;s07e02;dev;Howard lifts up his shirt to show Raj his chest.;1;1;0;1;0;Z;Howard,Raj
54262;s07e02;dev;Howard sticks the bottom of his shirt up over his head.;1;1;0;1;0;P;Howard
54263;s07e02;dev;Howard jumps up and down with his shirt pulled up.;1;1;0;1;0;P;Howard
54264;s07e02;dev;Raj, in a green and grey shirt, shakes his chest from side to side.;1;0;0;1;0;P;Raj
54265;s07e02;dev;Howard stands in front of the couch with his shirt pulled up and shimmies his torso.;1;1;0;1;0;P;Howard
54268;s07e02;dev;Raj pulls his shirt over his head as he shakes his body in front of Howard.;1;1;0;1;0;Z;Raj,Howard
54269;s07e02;dev;Raj puts his hand on Howard's bare chest as Bernadette walks into the room.;1;0;0;1;0;Z;Raj,Howard,Bernadette
54270;s07e02;dev;Leonard pours coffee from the coffee pot into a travel mug.;1;1;0;1;0;P;Leonard
54273;s07e02;dev;Bernadette walks away after seeing Raj and Howard holding each other's bare chests.;1;0;0;1;0;Z;Bernadette,Raj,Howard
54277;s07e02;dev;Sheldon, in a beige jacket, holds the building's door open while talking to someone.;1;1;1;0;0;Z;Sheldon
54279;s07e02;dev;Sheldon comes out of the apartment to where Amy and Penny, in a white shirt and yellow vest, are.;1;0;1;1;0;Z;Sheldon,Amy,Penny
62068;s07e02;dev;Raj, in a red sweater, sits on the floor while his friends are having a conversation at the living room table.;1;0;1;0;0;Z;Raj
71317;s07e02;dev;Leonard, in a grey hoodie, stands up scared as Sheldon and Amy enter the apartment.;1;0;1;1;1;Z;Leonard,Sheldon,Amy
71318;s07e02;dev;Amy and Sheldon put their ears up to the door.;1;1;0;1;0;Z;Amy,Sheldon
71319;s07e02;dev;Sheldon, in a red shirt, gets the key from his pocket and opens the door, while standing next to Amy.;1;1;0;1;0;Z;Sheldon,Amy
71426;s07e02;dev;Howard grabs a yellow pillow and hugs it for comfort, while sitting on the blue couch.;1;1;0;1;0;Z;Howard
71427;s07e02;dev;Amy picks up her blue coffee cup and walks out of the kitchen where Sheldon sits with a yellow cup.;1;1;1;1;0;Z;Amy,Sheldon
71428;s07e02;dev;Bernadette, in a pink sweater, sits down on the blue couch next to Howard.;1;0;0;1;0;Z;Bernadette,Howard
20156;s09e12;dev;Leonard, in a grey jacket, opens his water bottle and takes a sip before putting the cap back on, while sitting on the armchair in the living room.;1;1;1;1;0;Z;Leonard
20157;s09e12;dev;Sheldon, in a black shirt, reaches over to put his hand on Raj's shoulder, while sitting next to each other on the couch.;1;0;0;1;0;Z;Sheldon,Raj
20160;s09e12;dev;Howard sits on the bed with cleaning accessories on it, and Bernadette places her head on his shoulder.;1;1;0;1;0;Z;Howard,Bernadette
20165;s09e12;dev;A woman in a maroon turtleneck keeps her left hand close to her chin while gesturing to Penny.;1;0;0;1;0;Z;Penny
20166;s09e12;dev;A woman in a maroon turtleneck moves a brochure away and looks straight ahead with both hands close together on the desk.;0;1;0;1;0;Z;
20170;s09e12;dev;Penny laughs while reading a pharmaceutical brochure to a woman in a maroon turtleneck with glasses.;1;1;0;0;1;Z;Penny
20171;s09e12;dev;Penny slides a brochure across the desk to a woman in a maroon turtleneck.;1;1;0;1;0;Z;Penny
20172;s09e12;dev;A woman in a maroon turtleneck leans forward on her desk, clasping her hands.;0;0;0;1;0;Z;
20176;s09e12;dev;Leonard excitedly talks to a bunch of young girls as he jumps rope with them.;1;1;0;1;0;Z;Leonard
20177;s09e12;dev;Stuart stares at Bernadette and Howard lying in bed in the dark.;1;0;1;0;0;Z;Stuart,Bernadette,Howard
20179;s09e12;dev;Penny starts to lie back on the couch in the therapist's office, but jumps back up and then lies down again.;1;0;1;1;0;Z;Penny
20181;s09e12;dev;Penny sits on a couch while talking to a woman in a maroon turtleneck.;1;0;0;0;0;Z;Penny
20183;s09e12;dev;Penny places her hands on a couch and then goes from a seated to a lying position, in front of a woman in a maroon turtleneck.;1;0;0;1;0;Z;Penny
20184;s09e12;dev;A woman in a maroon turtleneck raises her pen and then writes something down.;0;1;0;1;0;Z;
53161;s09e12;dev;Raj, in a red and dark blue blouse, is unpacking a bag of Chinese food takeout onto the kitchen island.;1;1;1;1;0;P;Raj
53164;s09e12;dev;Raj picks up four Chinese food cartons off the kitchen counter.;1;1;1;1;0;P;Raj
56265;s09e12;dev;Sheldon is speaking on a video chat on his laptop, pointing his thumb to the right.;1;1;0;1;0;Z;Sheldon
56266;s09e12;dev;Amy nods with her eyes closed, while speaking to Sheldon on video chat.;1;0;0;1;1;Z;Amy,Sheldon
61811;s09e12;dev;Penny, in a plaid blue and white shirt, hugs Leonard as they talk in the kitchen.;1;0;1;1;0;Z;Penny,Leonard
61812;s09e12;dev;Bernadette leaves a rag and a bottle of cleaning spray on the cleaned desk, in a room.;1;1;0;1;0;Z;Bernadette
61816;s09e12;dev;Stuart gets into a silver car and drives off.;1;1;0;1;0;Z;Stuart
61817;s09e12;dev;Howard pops out of the garage in his underwear and poses.;1;0;1;1;0;Z;Howard
61819;s09e12;dev;Bernadette waves back at a man in a silver car as he drives off.;1;1;0;1;0;Z;Bernadette
61826;s09e12;dev;Leonard enters the office, and a woman in a dark blue dress with glasses closes the door.;1;1;1;1;0;Z;Leonard
61827;s09e12;dev;A woman in a dark blue dress with glasses walks to her chair, sits down, and picks up a pad of paper and a writing utensil.;0;1;0;1;0;Z;
61831;s09e12;dev;A woman in a dark blue dress with glasses taps a pad of paper with the reverse end of a writing utensil, while sitting in the office.;0;1;1;1;0;P;
61833;s09e12;dev;Howard and Bernadette load the silver car up with boxes.;1;1;0;1;0;Z;Howard,Bernadette
61834;s09e12;dev;Stuart puts a box in the trunk of the silver car, while Howard and Bernadette stand next to it.;1;1;0;1;0;Z;Stuart,Howard,Bernadette
61836;s09e12;dev;Raj, while sitting at his desk, talks to Sheldon and points at a monitor at his lab.;1;1;1;1;0;Z;Raj,Sheldon
61838;s09e12;dev;Stuart walks into Bernadette and Howard's bedroom as they are under the covers.;1;0;1;1;0;Z;Stuart,Bernadette,Howard
61839;s09e12;dev;Sheldon, in a green shirt, is walking around Raj's lab as he is on his computer.;1;1;1;1;0;Z;Sheldon,Raj
61840;s09e12;dev;Raj is sitting in front of computer screens at the lab, moving a bit away in his chair to show them to Sheldon.;1;1;1;1;0;Z;Raj,Sheldon
61843;s09e12;dev;Sheldon sits down on the table where Raj's computer is, at the lab.;1;1;1;1;0;Z;Sheldon,Raj
61847;s09e12;dev;Leonard walks across the room to greet Penny, all in black, at the door with a kiss on the cheek.;1;0;1;1;0;Z;Leonard,Penny
61848;s09e12;dev;Penny, all in black with a black and white purse, walks in through the apartment's front door, where everybody eats at the living room table.;1;0;1;1;0;Z;Penny
61849;s09e12;dev;Sheldon holds up a napkin to his face as a medical mask, while sitting on the couch.;1;1;0;1;0;P;Sheldon
96200;s09e12;dev;Bernadette, in a blue and beige shirt, places the black suitcase in the closet.;1;1;1;1;0;P;Bernadette
96201;s09e12;dev;Howard takes the teddy bear from Bernadette and places it on the dresser.;1;1;0;1;0;Z;Howard,Bernadette
96202;s09e12;dev;Howard, in a green plaid shirt, is cleaning an open cabinet with a small vacuum.;1;1;0;1;0;P;Howard
2965;s01e01;test;Leonard and Sheldon enter the apartment in their underwear.;1;0;1;1;0;Z;Leonard,Sheldon
2966;s01e01;test;Penny hugs Leonard and Sheldon in their underwear.;1;0;0;1;0;Z;Penny,Leonard,Sheldon
3020;s01e01;test;Penny runs out of the bathroom into the living room, where Raj, Howard, Leonard and Sheldon are, wearing only a purple towel.;1;0;1;1;0;Z;Penny,Raj,Howard,Leonard,Sheldon
3022;s01e01;test;Penny pulls back the shower curtain and climbs inside the shower.;1;1;1;1;0;Z;Penny
38396;s01e01;test;Leonard grabs Sheldon, who is wearing plaid pants, by the arm as he tries to walk away from the entrance to the building.;1;0;1;1;0;Z;Leonard,Sheldon
38397;s01e01;test;Leonard shakes the doors to the apartment building with both hands.;1;1;1;1;0;P;Leonard
38401;s01e01;test;Howard walks into the living room carrying two juice boxes with straws.;1;1;1;1;0;P;Howard
