vocabulary;desc_id;phrase;matched_class;correct
objects_yolo11;MhIBVCse204_000095_000105;exolanation;banana;no
objects_yolo11;5Td-OQQVXT8_000001_000011;pads;remote;no
objects_yolo11;bBZcjsU0yuE_000001_000011;big toy car;car;yes
objects_yolo11;bJYsix7xgYc_000046_000056;hot dog;hot dog;yes
objects_yolo11;JOJPfFRuRuY_000261_000271;flint knapping;knife;no
objects_yolo11;8EV2thGZ9zU_000026_000036;cake;cake;yes
objects_yolo11;s_gGtYIrtsc_000118_000128;-;book;no
objects_yolo11;SkQ7p7FJxpk_000042_000052;cats;cat;yes
objects_yolo11;aEZYx3Mc-dU_000012_000022;box;bear;no
objects_yolo11;RuvSvyq8-9A_000008_000018;hair dryer;hair drier;yes
objects_yolo11;lGiyiZh1JbA_000092_000102;chair;chair;yes
objects_yolo11;lj19viH6U2g_000252_000262;bottles;bottle;yes
objects_yolo11;muD4owEuIxs_000010_000020;elephant;elephant;yes
objects_yolo11;vM96wKll2h4_000007_000017;cat;cat;yes
objects_yolo11;Pi4JfWslquo_000060_000070;tractor;motorcycle;no
objects_yolo11;aXBKAMImppU_000056_000066;pickup truck;truck;yes
objects_yolo11;AD1P-ZmkxPA_000021_000031;clip;truck;no
objects_yolo11;umJqRnwaC_c_000000_000010;phlegm;zebra;no
objects_yolo11;wj3koDeK8ew_000259_000269;rolling stones pinball machine;cake;no
objects_yolo11;eYdzsRaIBT8_000002_000012;scotch;apple;no
objects_yolo11;YSGHvSk3xqY_000001_000011;crowd watches;tie;no
objects_yolo11;XMQAYSc2Ly8_000379_000389;small notches;donut;no
objects_yolo11;5eACZyKJ28A_000013_000023;toy trains;train;yes
objects_yolo11;-gJlTcI3jRI_000000_000010;knife;knife;yes
objects_yolo11;hz-aGijoIc0_000000_000010;photo;book;no
objects_yolo11;03SGFTLtuTM_000125_000135;boat;boat;yes
objects_yolo11;Jm1r-lF68dQ_000028_000038;short vignette;kite;no
objects_yolo11;r0v3I6yO5h4_000033_000043;parashute;remote;no
objects_yolo11;rsDfe_ikY1I_000010_000020;footage;bear;no
objects_yolo11;r7AIEmqkHnE_000012_000022;scooters;motorcycle;yes
objects_yolo11;Ya5z_JLEEIA_000051_000061;scissors;scissors;yes
objects_yoloe_promptfree;Myf-EHhmwLo_000056_000066;court room;room;yes
objects_yoloe_promptfree;T4GgwfklMqk_000001_000011;deck;deck;yes
objects_yoloe_promptfree;QhWJ4lNowjU_000253_000263;dish;bowl;no
objects_yoloe_promptfree;uu5CsLQuzN4_000005_000015;closest up front inserts;meet;no
objects_yoloe_promptfree;avDKo2qRcZQ_000029_000039;caligraphy;calligraphy;yes
objects_yoloe_promptfree;ILvS3LQug5k_000013_000023;commentates;commentator;yes
objects_yoloe_promptfree;EDhEshycrhg_000046_000056;street;road;yes
objects_yoloe_promptfree;MhIBVCse204_000095_000105;pumpkin;pumpkin;yes
objects_yoloe_promptfree;-1DARulHLgw_000007_000017;full situps;slope;no
objects_yoloe_promptfree;ar2xtNDcGEc_000035_000045;plastic;plastic;yes
objects_yoloe_promptfree;0gQxSyreT3Q_000008_000018;beach;beach;yes
objects_yoloe_promptfree;IFndtAos_rM_000000_000010;hurtle;hill;no
objects_yoloe_promptfree;jnnMN7t-63U_000084_000094;table playing dominoes;domino;yes
objects_yoloe_promptfree;_4nE_YZZUKc_000018_000028;features;image;no
objects_yoloe_promptfree;M72agpjFHYM_000008_000018;cubicle;office cubicle;yes
objects_yoloe_promptfree;T6VthjnJhrk_000048_000058;food production factory making sausage links;pin;no
objects_yoloe_promptfree;RuvSvyq8-9A_000008_000018;hair dryer;hair drier;yes
objects_yoloe_promptfree;k05S3GFNW3M_000004_000014;large copy machine;machine;yes
objects_yoloe_promptfree;NOMUP4W4rWs_000007_000017;pulls gum;bubble gum;yes
objects_yoloe_promptfree;WBydpE42YTc_000012_000022;balloon;balloon;yes
objects_yoloe_promptfree;1cWTEvQgvwg_000016_000026;alligator;crocodile;yes
objects_yoloe_promptfree;rrtLyJs--3w_000173_000183;jetski;speedboat;no
objects_yoloe_promptfree;XbKpNNxdbRI_000028_000038;two couples;couple;yes
objects_yoloe_promptfree;OHt8JWlknFM_000040_000050;unicycle;monocycle;yes
objects_yoloe_promptfree;_tZuT71OsRY_000026_000036;impressions;depression;no
objects_yoloe_promptfree;jpjRqIqSX2U_000688_000698;boxing ring;boxing ring;yes
objects_yoloe_promptfree;zqwKGGvPWZc_000016_000026;head butt trapping;mousetrap;no
objects_yoloe_promptfree;RR18KL8GSe4_000001_000011;couple shots;shoot;no
objects_yoloe_promptfree;eXLygHF6El4_000006_000016;rooster;poultry;no
objects_yoloe_promptfree;_XH_50Lp8qQ_000013_000023;cows;cow;yes
objects_yoloe_promptfree;AWjfCxman6A_000183_000193;saxophones;saxophonist;yes
objects_yoloe_promptfree;3becH_Mynns_000311_000321;painting;oil painting;yes
objects_yoloe_promptfree;BwRwhZUVjvI_000127_000137;rock , paper , scissors;scissors;no
objects_yoloe_promptfree;NAxGdOGE2rg_000094_000104;several trimmings;trim;yes
objects_yoloe_promptfree;9gV4YReK5p8_000039_000049;snowblower;snowmobile;no
objects_yoloe_promptfree;KMhfIWXAaWk_000059_000069;makeup;lipstick;yes
objects_yoloe_promptfree;dyBTNP-O7dY_000000_000010;sports car;sports car;yes
objects_yoloe_promptfree;bJYsix7xgYc_000046_000056;seats;seat;yes
objects_yoloe_promptfree;-2ckVgGKLNU_000002_000012;beer;beer;yes
objects_yoloe_promptfree;k9z0CnBuqvE_000088_000098;scallops;scallop;yes
objects_yoloe_promptfree;SWOiZM4j-bM_000000_000010;piece work;job;yes
objects_yoloe_promptfree;g4SrHMSsZpM_000005_000015;dumbells;dumbbell;yes
objects_yoloe_promptfree;WP2i4Av5sVQ_000123_000133;nonsense;sense;no
objects_yoloe_promptfree;Z-N4pSXIEl0_000000_000010;different pieces;half;no
objects_yoloe_promptfree;y-bo1WgMs5I_000000_000010;races;race;yes
objects_yoloe_promptfree;B38BzXupYP8_000002_000012;treadmill;treadmill;yes
objects_yoloe_promptfree;ZadO0c3OHtU_000035_000045;bikes;ride;no
objects_yoloe_promptfree;m8S7MD0svvs_000016_000026;roller;roller;yes
objects_yoloe_promptfree;jaI6gtE0WXA_000014_000024;wheelbarrow;handcart;yes
objects_yoloe_promptfree;B0HY3z-Uc1A_000165_000175;one fingernail;manicure;yes
objects_yoloe_promptfree;aCgHgusKKug_000005_000015;mustache;mascara;no
objects_yoloe_promptfree;Pi4JfWslquo_000060_000070;tractor;tractor;yes
objects_yoloe_promptfree;tvGgWlJTaGA_000057_000067;mountain;mountain;yes
objects_yoloe_promptfree;POGqStjMI60_000049_000059;unseen narrates;operate;no
objects_yoloe_promptfree;F54uOdVcUBI_000063_000073;center;side;no
objects_yoloe_promptfree;2088vEQsN5E_000002_000012;'s udders;cow;no
objects_yoloe_promptfree;PNilatJe7p8_000002_000012;burgers;hamburger;yes
objects_yoloe_promptfree;vb5ufNdJsuM_000066_000076;sink;sink;yes
objects_yoloe_promptfree;HMDdRXNGIIY_000100_000110;bbq pizza pie;pie;yes
objects_yoloe_promptfree;umJqRnwaC_c_000000_000010;nostrils;nose;yes
objects_yoloe_promptfree;Ya5z_JLEEIA_000051_000061;scissors;scissors;yes
objects_yoloe_promptfree;umJqRnwaC_c_000000_000010;automatic steamer;rice cooker;no
objects_yoloe_promptfree;QazCIdhmtFw_000000_000010;sand pit;sand box;yes
objects_yoloe_promptfree;yI5TycWvksE_000115_000125;rocks;granite;no
objects_yoloe_promptfree;XMQAYSc2Ly8_000379_000389;small notches;bolt;no
objects_yoloe_promptfree;9EioUfhATcw_000004_000014;frisbee;frisbee;yes
objects_yoloe_promptfree;V7tJYgrlLo4_000515_000525;ice and ice fishes;fish;yes
objects_yoloe_promptfree;9Fhh0flhpgo_000017_000027;christmas tree;tree;yes
objects_yoloe_promptfree;MyElD7nDC1Y_000011_000021;land;land;yes
objects_yoloe_promptfree;LQa0E8VlU3Q_000016_000026;ahile;rifle;no
objects_yoloe_promptfree;LEZgvXUaHi0_000053_000063;sap;apple;no
objects_yoloe_promptfree;FaM9bZRznFM_000016_000026;dogs;dog;yes
objects_yoloe_promptfree;tBRGBVi7thQ_000023_000033;swimming race;race;no
objects_yoloe_promptfree;JOJPfFRuRuY_000261_000271;flint knapping;stone carving;yes
objects_yoloe_promptfree;TXsSJQeNfO0_000006_000016;softball;softball;yes
objects_yoloe_promptfree;B0HY3z-Uc1A_000165_000175;polish;lipstick;no
objects_yoloe_promptfree;i4rAJKxTvXc_000005_000015;drinking game;game;yes
objects_yoloe_promptfree;d7328HOK7mY_000269_000279;country attire;management;no
objects_yoloe_promptfree;2WVnduXXFwo_000003_000013;fishing rod;fishing pole;yes
objects_yoloe_promptfree;v3huVwrvWE4_000003_000013;electric bike scooter;scooter;yes
objects_yoloe_promptfree;PZJtZ2cQfoY_000007_000017;skateboard;skateboard;yes
objects_yoloe_promptfree;gicTnDJ5y7g_000006_000016;hover board;board;yes
objects_yoloe_promptfree;ubihjlgB_Yg_000028_000038;sandwich;sandwich;yes
objects_yoloe_promptfree;AKZ0XB7RzaY_000009_000019;graham cracker;firecracker;no
objects_yoloe_promptfree;59AP7yEvUrA_000092_000102;mouse;mouse;yes
objects_yoloe_promptfree;s_gGtYIrtsc_000118_000128;-;book;no
objects_yoloe_promptfree;r0v3I6yO5h4_000033_000043;parashute;paradise;no
objects_yoloe_promptfree;KolLLZuMgUE_000003_000013;bike;ride;no
objects_yoloe_promptfree;9cFlNjI7nNg_000014_000024;steps;stairs;no
objects_yoloe_promptfree;Jm1r-lF68dQ_000028_000038;short vignette;still life;no
objects_yoloe_promptfree;MhIBVCse204_000095_000105;exolanation;plantation;no
objects_yoloe_promptfree;3KXf6mKouLc_000119_000129;mixing bowl;mixing bowl;yes
objects_yoloe_promptfree;cUe4K6nW3Rg_000040_000050;panel;panel;yes
objects_yoloe_promptfree;vz99COsaL5w_000005_000015;piecce;spice;no
objects_yoloe_promptfree;F54uOdVcUBI_000063_000073;battery cables;cable;yes
objects_yoloe_promptfree;QAwvWfn9WVc_000000_000010;""" "" hell - oooo";well;no
objects_yoloe_promptfree;umJqRnwaC_c_000000_000010;phlegm;pilgrim;no
objects_yoloe_promptfree;CaXa9TDy4S8_000044_000054;didgeridoo;bagpipe;no
objects_yoloe_promptfree;BY0dp27BpjU_000140_000150;eye glasses;glasses;yes
objects_yoloe_promptfree;7sBgLd1izz8_000023_000033;kitchen;kitchen;yes
